Stock,Fabricant,Type,Configuration,Nominal Zener Voltage (V),Zener volatge tolerance,Maximum power dissipation (MW),Test Current (MA),Maximum reverse leaking current (UA),Maximum regulator current (MA),Maximum Zener impedance (OHM),Maximum power dissipation (MW,Packaging,Pin Count,SVHC,label
0.0,3.0,3.0,4.0,9.1,0.0259,500.0,20.0,7.5,-1.0,-1.0,500.0,5.0,2.0,1.0,1.0
7136.0,3.0,3.0,6.0,3.3,0.025,125.0,5.0,25.0,-1.0,-1.0,125.0,7.0,2.0,1.0,0.0
0.0,20.0,3.0,6.0,8.2,0.05,300.0,20.0,3.0,-1.0,-1.0,300.0,7.0,3.0,1.0,0.0
0.0,21.0,3.0,6.0,43.0,0.07,500.0,2.0,0.05,-1.0,-1.0,500.0,7.0,2.0,1.0,0.0
0.0,3.0,3.0,6.0,12.0,0.05,350.0,20.0,1.0,-1.0,-1.0,350.0,7.0,2.0,0.0,0.0
21000.0,19.0,3.0,4.0,4.7,0.06,2300.0,100.0,10.0,-1.0,-1.0,800.0,5.0,2.0,2.0,1.0
0.0,14.0,3.0,6.0,33.64,0.03,500.0,5.0,0.2,-1.0,-1.0,500.0,1.0,2.0,2.0,0.0
0.0,19.0,3.0,4.0,5.65,0.03,500.0,5.0,5.0,-1.0,-1.0,500.0,5.0,2.0,1.0,1.0
23363.0,20.0,3.0,6.0,15.0,0.06,2300.0,50.0,1.0,-1.0,-1.0,-1.0,7.0,2.0,2.0,0.0
0.0,20.0,3.0,6.0,20.0,0.02,2300.0,25.0,1.0,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,3.0,3.0,6.0,91.0,0.05,5000.0,15.0,0.5,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,20.0,3.0,4.0,13.0,0.05,500.0,9.5,0.5,-1.0,-1.0,500.0,5.0,2.0,0.0,1.0
0.0,21.0,3.0,6.0,36.0,0.05,1300.0,8.0,0.5,-1.0,-1.0,1000.0,2.0,2.0,0.0,0.0
0.0,18.0,3.0,6.0,9.1,0.02,500.0,5.0,0.1,-1.0,-1.0,500.0,7.0,2.0,0.0,0.0
0.0,20.0,3.0,6.0,2.7,0.05,350.0,0.05,1.0,-1.0,-1.0,350.0,7.0,3.0,1.0,0.0
0.0,20.0,3.0,2.0,10.0,0.05,300.0,5.0,0.1,-1.0,-1.0,300.0,7.0,3.0,1.0,0.0
0.0,4.0,3.0,6.0,60.0,0.05,500.0,2.1,0.1,-1.0,-1.0,500.0,7.0,2.0,2.0,0.0
0.0,3.0,3.0,6.0,15.0,0.05,5000.0,75.0,1.0,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
18000.0,19.0,3.0,4.0,33.0,0.1,1000.0,7.5,5.0,-1.0,-1.0,-1.0,5.0,2.0,2.0,1.0
212.0,5.0,3.0,4.0,24.0,0.05,5000.0,50.0,0.5,-1.0,-1.0,-1.0,0.0,2.0,0.0,1.0
0.0,19.0,3.0,6.0,9.05,0.025,200.0,5.0,0.5,-1.0,-1.0,200.0,7.0,3.0,0.0,0.0
0.0,12.0,3.0,4.0,9.1,0.05,300.0,5.0,0.5,-1.0,-1.0,300.0,5.0,2.0,2.0,1.0
0.0,8.0,3.0,6.0,15.0,0.02,200.0,5.0,0.1,-1.0,-1.0,200.0,7.0,2.0,1.0,0.0
0.0,11.0,3.0,6.0,4.7,0.05,365.0,0.05,5.0,-1.0,-1.0,365.0,7.0,2.0,2.0,0.0
0.0,10.0,3.0,6.0,5.6,0.02,400.0,5.0,1.0,-1.0,-1.0,400.0,7.0,2.0,0.0,0.0
0.0,18.0,3.0,6.0,24.0,0.02,500.0,5.0,0.1,-1.0,-1.0,500.0,0.0,2.0,0.0,0.0
0.0,12.0,3.0,4.0,30.0,0.01,250.0,2.0,0.05,-1.0,-1.0,250.0,5.0,3.0,2.0,1.0
0.0,4.0,3.0,6.0,14.0,0.05,500.0,9.0,0.1,-1.0,-1.0,500.0,0.0,2.0,0.0,0.0
0.0,21.0,3.0,6.0,20.3,0.02,500.0,10.0,0.133,-1.0,-1.0,500.0,7.0,2.0,1.0,0.0
0.0,3.0,3.0,6.0,140.0,0.05,5000.0,8.0,0.5,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,19.0,3.0,6.0,4.645,0.025,200.0,5.0,5.0,-1.0,-1.0,200.0,0.0,2.0,0.0,0.0
0.0,21.0,3.0,6.0,5.1,0.05,1000.0,49.0,10.0,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,12.0,3.0,4.0,5.1,0.05,590.0,5.0,2.0,-1.0,-1.0,590.0,5.0,2.0,2.0,1.0
0.0,20.0,3.0,6.0,18.0,0.02,500.0,7.0,0.1,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,20.0,3.0,6.0,30.0,0.07,500.0,5.0,0.1,-1.0,-1.0,500.0,7.0,2.0,1.0,0.0
0.0,3.0,3.0,6.0,5.1,0.05,150.0,5.0,0.1,-1.0,-1.0,150.0,7.0,2.0,2.0,0.0
45000.0,20.0,3.0,4.0,17.95,0.05,500.0,5.0,0.05,-1.0,-1.0,-1.0,1.0,2.0,0.0,1.0
0.0,3.0,3.0,6.0,4.7,0.05,150.0,5.0,5.0,-1.0,-1.0,150.0,7.0,2.0,2.0,0.0
0.0,20.0,3.0,6.0,4.3,0.05,350.0,0.25,4.0,-1.0,-1.0,350.0,7.0,3.0,1.0,0.0
0.0,20.0,3.0,6.0,27.0,0.05,300.0,4.6,0.1,-1.0,-1.0,300.0,7.0,3.0,1.0,0.0
0.0,20.0,3.0,6.0,7.5,0.1,6000.0,175.0,1500.0,-1.0,-1.0,-1.0,1.0,2.0,1.0,0.0
0.0,9.0,3.0,6.0,160.0,0.05,5000.0,8.0,0.5,-1.0,-1.0,5000.0,7.0,2.0,2.0,0.0
0.0,8.0,3.0,6.0,24.0,0.05,500.0,5.2,5.0,-1.0,-1.0,500.0,7.0,2.0,0.0,0.0
0.0,12.0,3.0,4.0,27.0,0.05,550.0,2.0,0.05,-1.0,-1.0,550.0,5.0,2.0,2.0,1.0
58.0,20.0,3.0,4.0,16.0,0.05,500.0,0.05,0.05,-1.0,-1.0,-1.0,5.0,2.0,0.0,1.0
0.0,3.0,3.0,4.0,6.2,0.0645,350.0,5.0,3.0,-1.0,-1.0,350.0,5.0,3.0,1.0,1.0
0.0,20.0,3.0,2.0,15.0,0.05,300.0,5.0,0.1,-1.0,-1.0,300.0,7.0,3.0,1.0,0.0
0.0,20.0,3.0,6.0,2.4,0.02,500.0,5.0,50.0,-1.0,-1.0,500.0,7.0,3.0,1.0,0.0
0.0,20.0,3.0,6.0,8.2,0.05,500.0,20.0,3.0,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,2.0,3.0,4.0,75.0,0.05,5000.0,20.0,0.5,-1.0,-1.0,-1.0,5.0,2.0,0.0,1.0
0.0,3.0,3.0,6.0,36.0,0.05,5000.0,30.0,0.5,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,3.0,3.0,6.0,22.0,0.05,5000.0,50.0,0.5,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,21.0,3.0,6.0,5.6,0.07,800.0,5.0,1.0,-1.0,-1.0,800.0,7.0,2.0,1.0,0.0
7500.0,19.0,3.0,4.0,36.0,0.06,500.0,5.0,0.1,-1.0,-1.0,500.0,5.0,2.0,1.0,1.0
0.0,8.0,3.0,6.0,11.0,0.05,500.0,5.0,0.1,-1.0,-1.0,500.0,7.0,2.0,0.0,0.0
0.0,14.0,3.0,6.0,23.715,0.03,500.0,5.0,0.2,-1.0,-1.0,500.0,0.0,2.0,0.0,0.0
0.0,20.0,3.0,6.0,91.0,0.06,2300.0,5.0,1.0,-1.0,-1.0,-1.0,7.0,2.0,2.0,0.0
0.0,9.0,3.0,6.0,180.0,0.05,3000.0,2.1,1.0,-1.0,-1.0,3000.0,7.0,2.0,2.0,0.0
0.0,12.0,3.0,6.0,30.05,0.05,200.0,2.0,0.05,-1.0,-1.0,200.0,7.0,2.0,0.0,0.0
249.0,20.0,3.0,4.0,36.0,0.05,5000.0,30.0,0.5,-1.0,-1.0,5000.0,3.0,2.0,2.0,1.0
0.0,20.0,3.0,6.0,36.0,0.06,3000.0,8.0,0.5,-1.0,-1.0,1250.0,7.0,2.0,0.0,0.0
719.0,3.0,3.0,4.0,3.3,0.0606,200.0,5.0,5.0,-1.0,-1.0,200.0,5.0,2.0,1.0,1.0
0.0,20.0,3.0,6.0,12.0,0.05,3000.0,20.0,0.5,-1.0,-1.0,1250.0,7.0,2.0,0.0,0.0
0.0,12.0,3.0,4.0,15.0,0.05,1300.0,15.0,0.05,-1.0,-1.0,1300.0,5.0,2.0,2.0,1.0
0.0,3.0,3.0,6.0,51.0,0.05,5000.0,25.0,0.5,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,16.0,3.0,6.0,200.0,0.05,1300.0,2.5,1.0,6.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,3.0,3.0,4.0,9.1,0.0608,200.0,5.0,0.5,-1.0,-1.0,200.0,5.0,3.0,1.0,1.0
0.0,14.0,3.0,6.0,8.79,0.03,500.0,5.0,0.5,-1.0,-1.0,500.0,7.0,2.0,2.0,0.0
0.0,3.0,3.0,6.0,3.0,0.05,150.0,5.0,50.0,-1.0,-1.0,150.0,7.0,2.0,0.0,0.0
0.0,3.0,3.0,6.0,75.0,0.05,5000.0,20.0,0.5,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
339.0,9.0,3.0,4.0,24.0,0.05,500.0,5.2,0.1,-1.0,-1.0,500.0,5.0,2.0,1.0,1.0
0.0,12.0,3.0,4.0,27.0,0.02,400.0,5.0,0.05,-1.0,-1.0,400.0,5.0,2.0,2.0,1.0
0.0,21.0,3.0,6.0,6.0,0.05,5000.0,200.0,1.0,-1.0,-1.0,5000.0,4.0,2.0,2.0,0.0
0.0,18.0,3.0,6.0,6.2,0.02,500.0,5.0,0.1,-1.0,-1.0,500.0,7.0,2.0,0.0,0.0
0.0,4.0,3.0,4.0,3.0,0.05,300.0,5.0,10.0,-1.0,-1.0,300.0,5.0,3.0,2.0,1.0
0.0,20.0,3.0,6.0,15.0,0.1,3250.0,50.0,1.0,-1.0,-1.0,1300.0,1.0,2.0,1.0,0.0
0.0,9.0,3.0,6.0,100.0,0.1,1000.0,2.5,5.0,9.0,-1.0,1000.0,7.0,2.0,2.0,0.0
0.0,8.0,3.0,6.0,7.5,0.05,2000.0,66.5,5.0,-1.0,-1.0,2000.0,7.0,2.0,2.0,0.0
0.0,20.0,3.0,6.0,20.0,0.05,200.0,5.0,0.05,-1.0,-1.0,200.0,7.0,2.0,1.0,0.0
0.0,4.0,3.0,3.0,12.0,0.0539,300.0,5.0,0.1,-1.0,-1.0,300.0,7.0,3.0,0.0,0.0
0.0,20.0,3.0,6.0,240.0,0.1,6000.0,5.0,2.0,-1.0,-1.0,-1.0,1.0,2.0,1.0,0.0
0.0,16.0,3.0,6.0,12.05,0.05,1300.0,50.0,1.0,102.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,14.0,3.0,6.0,5.935,0.03,500.0,5.0,0.5,-1.0,-1.0,500.0,7.0,2.0,0.0,0.0
0.0,21.0,3.0,6.0,3.0,0.05,500.0,20.0,50.0,-1.0,-1.0,-1.0,7.0,2.0,2.0,0.0
0.0,21.0,3.0,6.0,3.9,0.05,3000.0,96.1,25.0,-1.0,-1.0,550.0,7.0,2.0,2.0,0.0
0.0,14.0,3.0,6.0,2.315,0.04,500.0,5.0,100.0,-1.0,-1.0,500.0,0.0,2.0,0.0,0.0
0.0,21.0,3.0,6.0,3.6,0.05,3000.0,69.0,100.0,-1.0,-1.0,-1.0,7.0,2.0,2.0,0.0
0.0,18.0,3.0,6.0,6.8,0.05,200.0,5.0,1.8,-1.0,-1.0,200.0,7.0,2.0,0.0,0.0
0.0,21.0,3.0,6.0,33.0,0.05,500.0,3.8,0.1,-1.0,-1.0,500.0,7.0,2.0,1.0,0.0
0.0,20.0,3.0,6.0,3.0,0.05,300.0,20.0,50.0,-1.0,-1.0,300.0,7.0,3.0,1.0,0.0
0.0,20.0,3.0,6.0,17.0,0.05,350.0,0.05,0.05,-1.0,-1.0,350.0,7.0,3.0,1.0,0.0
0.0,12.0,3.0,6.0,4.305,0.05,200.0,5.0,10.0,-1.0,-1.0,200.0,7.0,2.0,0.0,0.0
0.0,9.0,3.0,6.0,120.0,0.05,1000.0,2.0,10.0,-1.0,-1.0,-1.0,0.0,2.0,0.0,0.0
0.0,20.0,3.0,4.0,36.0,0.05,5000.0,30.0,0.5,-1.0,-1.0,5000.0,5.0,2.0,2.0,1.0
0.0,3.0,3.0,4.0,18.0,0.05,3000.0,20.8,1.0,-1.0,-1.0,550.0,5.0,2.0,2.0,1.0
0.0,20.0,3.0,6.0,2.4,0.05,350.0,0.05,2.0,-1.0,-1.0,350.0,7.0,3.0,1.0,0.0
0.0,21.0,3.0,6.0,15.0,0.05,3000.0,25.0,1.0,-1.0,-1.0,-1.0,4.0,2.0,2.0,0.0
0.0,21.0,3.0,6.0,2.96,0.04,500.0,20.0,35.0,-1.0,-1.0,500.0,7.0,2.0,1.0,0.0
0.0,5.0,3.0,4.0,18.0,0.1,3000.0,42.0,0.5,-1.0,-1.0,-1.0,0.0,2.0,0.0,1.0
0.0,4.0,3.0,6.0,27.0,0.0704,200.0,2.0,0.1,-1.0,-1.0,200.0,7.0,2.0,1.0,0.0
0.0,20.0,3.0,6.0,3.9,0.05,200.0,5.0,3.0,-1.0,-1.0,200.0,7.0,2.0,1.0,0.0
0.0,20.0,3.0,2.0,15.0,0.02,300.0,5.0,0.1,-1.0,-1.0,300.0,7.0,3.0,1.0,0.0
0.0,9.0,3.0,6.0,15.0,0.05,1000.0,17.0,10.0,-1.0,-1.0,-1.0,0.0,2.0,0.0,0.0
0.0,18.0,3.0,6.0,68.0,0.05,500.0,2.5,0.1,-1.0,-1.0,500.0,7.0,2.0,0.0,0.0
0.0,21.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0
0.0,20.0,3.0,6.0,12.0,0.05,3000.0,20.0,0.5,-1.0,-1.0,1250.0,0.0,2.0,2.0,0.0
0.0,20.0,3.0,6.0,30.0,0.1,6000.0,40.0,2.0,-1.0,-1.0,-1.0,7.0,2.0,1.0,0.0
0.0,21.0,3.0,6.0,5.1,0.05,500.0,20.0,1.0,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,21.0,3.0,6.0,51.0,0.06,200.0,2.0,0.05,-1.0,-1.0,200.0,7.0,2.0,1.0,0.0
0.0,8.0,3.0,6.0,5.1,0.05,2000.0,98.0,5.0,-1.0,-1.0,2000.0,7.0,2.0,2.0,0.0
0.0,9.0,3.0,4.0,33.0,0.06,500.0,2.0,0.1,-1.0,-1.0,500.0,5.0,2.0,1.0,1.0
0.0,2.0,1.0,6.0,-1.0,-1.0,-1.0,-1.0,10.0,-1.0,-1.0,-1.0,3.0,2.0,0.0,0.0
0.0,3.0,3.0,6.0,19.0,0.05,5000.0,65.0,0.5,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,21.0,3.0,6.0,22.0,0.05,500.0,5.6,5.0,-1.0,-1.0,-1.0,0.0,2.0,1.0,0.0
3680.0,21.0,3.0,6.0,2.4,0.05,550.0,20.0,100.0,-1.0,-1.0,250.0,7.0,3.0,1.0,0.0
0.0,9.0,3.0,6.0,3.3,0.05,1000.0,76.0,100.0,-1.0,-1.0,-1.0,0.0,2.0,0.0,0.0
9000.0,19.0,3.0,4.0,36.0,0.05,200.0,2.0,0.05,-1.0,-1.0,200.0,5.0,2.0,1.0,1.0
0.0,4.0,3.0,6.0,5.1,0.05,1000.0,49.0,10.0,-1.0,-1.0,1000.0,0.0,2.0,2.0,0.0
0.0,21.0,3.0,6.0,36.0,0.05,2300.0,10.0,1.0,-1.0,-1.0,1000.0,7.0,2.0,2.0,0.0
0.0,3.0,3.0,6.0,33.0,0.05,5000.0,40.0,0.5,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,12.0,3.0,4.0,5.08,0.02,625.0,5.0,2.0,-1.0,-1.0,625.0,5.0,2.0,2.0,1.0
0.0,3.0,3.0,4.0,3.0,0.05,350.0,20.0,50.0,-1.0,-1.0,350.0,5.0,3.0,1.0,1.0
0.0,20.0,3.0,6.0,22.0,0.05,1500.0,17.0,5.0,-1.0,-1.0,-1.0,7.0,2.0,2.0,0.0
0.0,20.0,3.0,6.0,15.0,0.05,350.0,0.05,0.05,-1.0,-1.0,350.0,7.0,3.0,1.0,0.0
0.0,21.0,3.0,6.0,3.6,0.05,3000.0,69.0,100.0,-1.0,-1.0,-1.0,7.0,2.0,2.0,0.0
0.0,8.0,3.0,6.0,2.2,0.05,500.0,0.25,4.0,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,20.0,3.0,6.0,6.8,0.1,6000.0,175.0,2000.0,-1.0,-1.0,-1.0,1.0,2.0,1.0,0.0
0.0,9.0,2.0,6.0,9.0,0.05,500.0,7.5,10.0,-1.0,-1.0,500.0,0.0,2.0,2.0,0.0
0.0,3.0,3.0,6.0,140.0,0.05,5000.0,8.0,0.5,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,9.0,3.0,6.0,4.3,0.05,5000.0,290.0,10.0,-1.0,-1.0,5000.0,7.0,2.0,0.0,0.0
0.0,12.0,3.0,4.0,33.0,0.05,1300.0,8.0,0.05,-1.0,-1.0,1300.0,1.0,2.0,2.0,1.0
0.0,3.0,3.0,6.0,22.0,0.025,200.0,5.0,0.1,-1.0,-1.0,200.0,7.0,2.0,1.0,0.0
0.0,11.0,3.0,6.0,3.6,0.05,365.0,5.0,5.0,-1.0,-1.0,365.0,7.0,2.0,2.0,0.0
1.0,10.0,3.0,4.0,10.0,0.05,5000.0,125.0,25.0,-1.0,-1.0,-1.0,2.0,2.0,2.0,1.0
0.0,20.0,3.0,6.0,3.9,0.05,200.0,5.0,3.0,-1.0,-1.0,200.0,7.0,2.0,1.0,0.0
0.0,20.0,3.0,6.0,30.0,0.05,350.0,0.05,0.01,-1.0,-1.0,350.0,7.0,3.0,1.0,0.0
0.0,12.0,3.0,6.0,18.0,0.03,200.0,5.0,0.05,-1.0,-1.0,200.0,7.0,2.0,0.0,0.0
0.0,4.0,3.0,6.0,6.8,0.05,500.0,0.05,0.1,-1.0,-1.0,500.0,7.0,2.0,0.0,0.0
0.0,18.0,3.0,6.0,12.0,0.05,200.0,5.0,0.1,-1.0,-1.0,200.0,7.0,2.0,0.0,0.0
0.0,20.0,3.0,6.0,5.1,0.06,500.0,5.0,0.1,-1.0,-1.0,500.0,7.0,2.0,1.0,0.0
0.0,3.0,3.0,6.0,3.9,0.05,125.0,5.0,10.0,-1.0,-1.0,125.0,7.0,2.0,1.0,0.0
0.0,9.0,3.0,6.0,18.0,0.05,3000.0,27.8,0.5,100.0,-1.0,3000.0,7.0,2.0,2.0,0.0
0.0,21.0,3.0,6.0,30.0,0.05,500.0,4.2,0.1,-1.0,-1.0,500.0,7.0,2.0,1.0,0.0
0.0,20.0,3.0,6.0,4.7,0.06,500.0,5.0,-1.0,-1.0,-1.0,500.0,7.0,2.0,1.0,0.0
0.0,20.0,3.0,4.0,9.1,0.05,300.0,5.0,0.5,-1.0,-1.0,300.0,5.0,3.0,1.0,1.0
0.0,20.0,3.0,6.0,28.0,0.02,500.0,4.5,0.1,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,18.0,3.0,6.0,47.0,0.05,500.0,2.5,0.1,-1.0,-1.0,500.0,7.0,2.0,0.0,0.0
0.0,21.0,3.0,6.0,33.0,0.05,500.0,2.0,0.05,-1.0,-1.0,-1.0,2.0,2.0,0.0,0.0
50.0,12.0,3.0,4.0,33.0,0.02,590.0,2.0,0.05,-1.0,-1.0,590.0,0.0,2.0,2.0,1.0
0.0,12.0,3.0,4.0,75.0,0.02,500.0,2.0,0.05,-1.0,-1.0,-1.0,5.0,2.0,2.0,1.0
0.0,9.0,3.0,6.0,10.0,0.05,5000.0,125.0,5.0,-1.0,-1.0,5000.0,7.0,2.0,0.0,0.0
0.0,12.0,3.0,4.0,5.6,0.02,300.0,5.0,1.0,-1.0,-1.0,300.0,5.0,2.0,2.0,1.0
1.0,10.0,3.0,4.0,20.0,0.05,500.0,0.25,0.01,-1.0,-1.0,-1.0,2.0,2.0,0.0,1.0
0.0,20.0,3.0,6.0,8.2,0.05,300.0,20.0,3.0,-1.0,-1.0,300.0,7.0,3.0,1.0,0.0
0.0,20.0,3.0,6.0,7.5,0.05,350.0,0.05,10.0,-1.0,-1.0,350.0,7.0,3.0,1.0,0.0
42.0,19.0,3.0,4.0,18.0,0.05,500.0,7.0,0.1,-1.0,-1.0,-1.0,5.0,2.0,1.0,1.0
0.0,19.0,3.0,6.0,4.645,0.025,200.0,5.0,5.0,-1.0,-1.0,200.0,0.0,2.0,0.0,0.0
0.0,3.0,3.0,4.0,36.3,0.02522,500.0,5.0,0.05,-1.0,-1.0,470.0,5.0,2.0,0.0,1.0
0.0,20.0,3.0,6.0,15.0,0.02,500.0,5.0,0.05,-1.0,-1.0,500.0,7.0,3.0,1.0,0.0
0.0,12.0,3.0,4.0,3.9,0.05,500.0,5.0,3.0,-1.0,-1.0,-1.0,5.0,2.0,2.0,1.0
0.0,5.0,3.0,6.0,7.45,0.05,200.0,5.0,1.0,-1.0,-1.0,200.0,0.0,2.0,0.0,0.0
0.0,21.0,3.0,6.0,30.0,0.05,500.0,4.2,0.1,-1.0,-1.0,500.0,7.0,2.0,1.0,0.0
0.0,4.0,3.0,6.0,12.0,0.05,500.0,20.0,1.0,-1.0,-1.0,500.0,7.0,2.0,2.0,0.0
0.0,12.0,3.0,4.0,10.0,0.05,250.0,5.0,0.2,-1.0,-1.0,250.0,5.0,2.0,2.0,1.0
0.0,3.0,3.0,6.0,51.0,0.05,5000.0,25.0,0.5,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,3.0,3.0,4.0,18.0,0.0641,200.0,5.0,0.1,-1.0,-1.0,200.0,5.0,2.0,1.0,1.0
0.0,20.0,3.0,6.0,39.0,0.1,1000.0,6.5,5.0,-1.0,-1.0,-1.0,7.0,2.0,2.0,0.0
0.0,20.0,3.0,4.0,3.9,0.02,300.0,5.0,3.0,-1.0,-1.0,300.0,5.0,2.0,1.0,1.0
0.0,18.0,3.0,6.0,33.0,0.02,500.0,5.0,0.1,-1.0,-1.0,500.0,7.0,2.0,0.0,0.0
0.0,20.0,3.0,6.0,39.0,0.05,200.0,2.0,0.05,-1.0,-1.0,200.0,7.0,2.0,1.0,0.0
444.0,12.0,3.0,4.0,2.7,0.05,500.0,5.0,20.0,-1.0,-1.0,-1.0,5.0,2.0,2.0,1.0
0.0,3.0,3.0,6.0,8.2,0.05,150.0,5.0,0.1,-1.0,-1.0,150.0,7.0,2.0,1.0,0.0
0.0,21.0,3.0,6.0,2.7,0.05,500.0,20.0,75.0,-1.0,-1.0,-1.0,1.0,2.0,0.0,0.0
0.0,20.0,3.0,6.0,75.0,0.02,500.0,2.5,-1.0,-1.0,-1.0,500.0,7.0,2.0,1.0,0.0
72.0,10.0,3.0,4.0,5.6,0.05,500.0,20.0,5.0,-1.0,-1.0,-1.0,2.0,2.0,0.0,1.0
0.0,3.0,3.0,6.0,12.0,0.05,5000.0,100.0,2.0,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,16.0,3.0,6.0,68.0,0.05,1300.0,10.0,1.0,18.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,20.0,3.0,6.0,15.0,0.05,500.0,8.5,0.1,-1.0,-1.0,-1.0,7.0,2.0,1.0,0.0
0.0,20.0,3.0,6.0,60.0,0.05,500.0,2.1,0.1,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,3.0,3.0,6.0,150.0,0.05,5000.0,8.0,0.5,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
0.0,9.0,3.0,6.0,4.7,0.05,1000.0,53.0,10.0,-1.0,-1.0,-1.0,0.0,2.0,0.0,0.0
1.0,9.0,3.0,4.0,5.6,0.05,5000.0,220.0,1.0,-1.0,-1.0,-1.0,5.0,2.0,2.0,1.0
0.0,19.0,3.0,6.0,18.0,0.1,2000.0,10.0,10.0,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
84.0,4.0,3.0,4.0,12.0,0.05,5000.0,100.0,2.0,396.0,-1.0,-1.0,1.0,2.0,2.0,1.0
0.0,19.0,3.0,6.0,7.445,0.025,150.0,5.0,0.5,-1.0,-1.0,150.0,7.0,2.0,0.0,0.0
0.0,3.0,3.0,6.0,14.0,0.05,5000.0,100.0,1.0,-1.0,-1.0,-1.0,7.0,2.0,0.0,0.0
33.0,8.0,3.0,4.0,6.8,0.05,500.0,5.0,2.0,-1.0,-1.0,-1.0,5.0,2.0,1.0,1.0
